,Unix,Date,Close
0,1279400400,2010-07-18,0.09
1,1279486800,2010-07-19,0.08
2,1279573200,2010-07-20,0.07
3,1279659600,2010-07-21,0.08
4,1279746000,2010-07-22,0.05
5,1279832400,2010-07-23,0.06
6,1279918800,2010-07-24,0.05
7,1280005200,2010-07-25,0.05
8,1280091600,2010-07-26,0.06
9,1280178000,2010-07-27,0.06
10,1280264400,2010-07-28,0.06
11,1280350800,2010-07-29,0.07
12,1280437200,2010-07-30,0.06
13,1280523600,2010-07-31,0.07
14,1280610000,2010-08-01,0.06
15,1280696400,2010-08-02,0.06
16,1280782800,2010-08-03,0.06
17,1280869200,2010-08-04,0.06
18,1280955600,2010-08-05,0.06
19,1281042000,2010-08-06,0.06
20,1281128400,2010-08-07,0.06
21,1281214800,2010-08-08,0.06
22,1281301200,2010-08-09,0.07
23,1281387600,2010-08-10,0.07
24,1281474000,2010-08-11,0.07
25,1281560400,2010-08-12,0.07
26,1281646800,2010-08-13,0.06
27,1281733200,2010-08-14,0.07
28,1281819600,2010-08-15,0.07
29,1281906000,2010-08-16,0.07
30,1281992400,2010-08-17,0.07
31,1282078800,2010-08-18,0.07
32,1282165200,2010-08-19,0.07
33,1282251600,2010-08-20,0.07
34,1282338000,2010-08-21,0.07
35,1282424400,2010-08-22,0.07
36,1282510800,2010-08-23,0.06
37,1282597200,2010-08-24,0.06
38,1282683600,2010-08-25,0.06
39,1282770000,2010-08-26,0.06
40,1282856400,2010-08-27,0.06
41,1282942800,2010-08-28,0.06
42,1283029200,2010-08-29,0.06
43,1283115600,2010-08-30,0.06
44,1283202000,2010-08-31,0.06
45,1283288400,2010-09-01,0.06
46,1283374800,2010-09-02,0.06
47,1283461200,2010-09-03,0.06
48,1283547600,2010-09-04,0.06
49,1283634000,2010-09-05,0.06
50,1283720400,2010-09-06,0.06
51,1283806800,2010-09-07,0.06
52,1283893200,2010-09-08,0.06
53,1283979600,2010-09-09,0.06
54,1284066000,2010-09-10,0.06
55,1284152400,2010-09-11,0.06
56,1284238800,2010-09-12,0.06
57,1284325200,2010-09-13,0.06
58,1284411600,2010-09-14,0.06
59,1284498000,2010-09-15,0.06
60,1284584400,2010-09-16,0.06
61,1284670800,2010-09-17,0.06
62,1284757200,2010-09-18,0.06
63,1284843600,2010-09-19,0.06
64,1284930000,2010-09-20,0.06
65,1285016400,2010-09-21,0.06
66,1285102800,2010-09-22,0.06
67,1285189200,2010-09-23,0.06
68,1285275600,2010-09-24,0.06
69,1285362000,2010-09-25,0.06
70,1285448400,2010-09-26,0.06
71,1285534800,2010-09-27,0.06
72,1285621200,2010-09-28,0.06
73,1285707600,2010-09-29,0.06
74,1285794000,2010-09-30,0.06
75,1285880400,2010-10-01,0.06
76,1285966800,2010-10-02,0.06
77,1286053200,2010-10-03,0.06
78,1286139600,2010-10-04,0.06
79,1286226000,2010-10-05,0.06
80,1286312400,2010-10-06,0.06
81,1286398800,2010-10-07,0.07
82,1286485200,2010-10-08,0.09
83,1286571600,2010-10-09,0.09
84,1286658000,2010-10-10,0.1
85,1286744400,2010-10-11,0.09
86,1286830800,2010-10-12,0.09
87,1286917200,2010-10-13,0.1
88,1287003600,2010-10-14,0.1
89,1287090000,2010-10-15,0.1
90,1287176400,2010-10-16,0.1
